trial,stimulus,prime,word,responsetime,accuracy
1204,61,NL2,relax,748,1
1205,43,NH2,morgue,734,1
1206,5,PH1,fatal,692,1
1207,51,NL1,fatal,783,1
1208,2,PH1,payday,888,1
1209,20,PL1,payday,651,1
1210,32,PL2,arrest,653,1
1211,26,PL2,comfy,606,1
1212,1,PH1,excite,669,1
1213,17,PL1,relax,1110,1
1214,35,NH1,morgue,808,1
1215,10,PH2,payday,673,1
1216,58,NL2,dismal,958,1
1217,39,NH1,relax,584,1
1218,63,NL2,excite,1058,1
1219,4,PH1,comfy,921,1
1220,50,NL1,dismal,638,1
1221,23,PL1,fatal,836,1
1222,7,PH1,morgue,867,1
